날짜,그룹,역할,영웅,승률(%),픽률(%),점수,티어
2026-03-15,고티어,탱커,시그마,53.65,14.3,2.67,S
2026-03-15,고티어,탱커,도미나,53.5,7.5,2.035,A
2026-03-15,고티어,탱커,둠피스트,48.7,7.9,0.149,A
2026-03-15,고티어,탱커,레킹볼,49.05,4.55,0.005,B
2026-03-15,고티어,탱커,D.VA,48.35,7.85,0.004,B
2026-03-15,고티어,탱커,로드호그,48.2,6.85,-0.14,B
2026-03-15,고티어,탱커,마우가,46.8,3.0,-1.026,C
2026-03-15,고티어,탱커,라인하르트,46.0,6.5,-1.05,C
2026-03-15,고티어,탱커,오리사,45.4,7.95,-1.167,D
2026-03-15,고티어,탱커,라마트라,45.7,4.5,-1.339,D
2026-03-15,고티어,딜러,겐지,51.45,13.65,1.623,S
2026-03-15,고티어,딜러,리퍼,51.55,10.15,1.395,A
2026-03-15,고티어,딜러,시메트라,51.75,3.8,0.99,A
2026-03-15,고티어,딜러,벤처,51.4,3.7,0.843,B
2026-03-15,고티어,딜러,벤데타,50.9,3.3,0.612,B
2026-03-15,고티어,딜러,소전,47.05,16.7,0.096,B
2026-03-15,고티어,딜러,솔저: 76,47.6,11.85,-0.055,C
2026-03-15,고티어,딜러,메이,48.25,6.1,-0.234,C
2026-03-15,고티어,딜러,솜브라,46.4,4.05,-1.131,D
2026-03-15,고티어,딜러,바스티온,45.2,5.25,-1.519,D
2026-03-15,고티어,서포터,일리아리,54.05,15.55,2.298,S
2026-03-15,고티어,서포터,우양,53.0,18.45,2.004,A
2026-03-15,고티어,서포터,아나,49.75,47.5,1.97,A
2026-03-15,고티어,서포터,미즈키,51.95,15.25,1.445,B
2026-03-15,고티어,서포터,모이라,48.4,13.05,-0.071,B
2026-03-15,고티어,서포터,메르시,48.1,6.25,-0.488,B
2026-03-15,고티어,서포터,브리기테,47.25,4.75,-0.893,C
2026-03-15,고티어,서포터,루시우,46.85,5.3,-1.029,C
2026-03-15,고티어,서포터,바티스트,45.05,8.25,-1.62,D
2026-03-15,고티어,서포터,라이프위버,40.4,3.3,-3.696,D
